"Name","Date","Open","High","Low","Close","Volume","OI"
SET,19770621,107.76,107.76,107.76,107.76,840070,0
SET,19770622,107.96,107.96,107.96,107.96,1562140,0
SET,19770623,109.74,109.74,109.74,109.74,2533500,0
SET,19770624,110.54,110.54,110.54,110.54,3841360,0
SET,19770627,111.90,111.90,111.90,111.90,2569170,0
SET,19770628,112.17,112.17,112.17,112.17,3102360,0
SET,19770629,112.31,112.31,112.31,112.31,2644200,0
SET,19770630,113.47,113.47,113.47,113.47,3048470,0
SET,19770704,115.18,115.18,115.18,115.18,4285810,0
SET,19770705,116.84,116.84,116.84,116.84,4376160,0
SET,19770706,116.04,116.04,116.04,116.04,3648780,0
SET,19770707,116.11,116.11,116.11,116.11,2519330,0
SET,19770708,116.87,116.87,116.87,116.87,2106320,0
SET,19770711,117.92,117.92,117.92,117.92,3663590,0
SET,19770712,117.80,117.80,117.80,117.80,4390300,0
SET,19770713,118.22,118.22,118.22,118.22,3846700,0
SET,19770714,117.52,117.52,117.52,117.52,2754110,0
SET,19770715,117.50,117.50,117.50,117.50,1600750,0
SET,19770718,118.72,118.72,118.72,118.72,2629470,0
SET,19770719,118.27,118.27,118.27,118.27,2062540,0
SET,19770720,119.34,119.34,119.34,119.34,1549150,0
SET,19770721,120.68,120.68,120.68,120.68,2743150,0
SET,19770722,121.30,121.30,121.30,121.30,2865590,0
SET,19770725,122.56,122.56,122.56,122.56,2859320,0
SET,19770726,123.71,123.71,123.71,123.71,4338710,0
SET,19770727,124.37,124.37,124.37,124.37,4656690,0
SET,19770728,125.14,125.14,125.14,125.14,3981170,0
SET,19770729,127.80,127.80,127.80,127.80,5443440,0
SET,19770802,130.43,130.43,130.43,130.43,6273140,0
SET,19770803,129.51,129.51,129.51,129.51,5592410,0
SET,19770804,130.06,130.06,130.06,130.06,5316640,0
SET,19770805,132.75,132.75,132.75,132.75,6118480,0
SET,19770808,135.74,135.74,135.74,135.74,7309670,0
SET,19770809,140.22,140.22,140.22,140.22,6638430,0
SET,19770810,148.73,148.73,148.73,148.73,9569580,0
SET,19770811,148.34,148.34,148.34,148.34,6948010,0
SET,19770815,142.76,142.76,142.76,142.76,4906940,0
SET,19770816,143.24,143.24,143.24,143.24,5488560,0
SET,19770817,146.76,146.76,146.76,146.76,5673790,0
SET,19770818,149.41,149.41,149.41,149.41,5667830,0
SET,19770819,150.54,150.54,150.54,150.54,5696000,0
SET,19770822,151.33,151.33,151.33,151.33,6056820,0
SET,19770823,148.96,148.96,148.96,148.96,5473280,0
SET,19770824,149.40,149.40,149.40,149.40,4428890,0
SET,19770825,150.27,150.27,150.27,150.27,5104720,0
SET,19770826,149.97,149.97,149.97,149.97,5209720,0
SET,19770829,150.68,150.68,150.68,150.68,5093450,0
SET,19770830,150.44,150.44,150.44,150.44,5688360,0
SET,19770831,150.07,150.07,150.07,150.07,3592950,0
SET,19770901,150.76,150.76,150.76,150.76,3790020,0
SET,19770902,149.95,149.95,149.95,149.95,4041800,0
SET,19770905,149.18,149.18,149.18,149.18,3988130,0
SET,19770906,149.77,149.77,149.77,149.77,4615520,0
SET,19770907,149.56,149.56,149.56,149.56,4867990,0
SET,19770908,146.84,146.84,146.84,146.84,2447040,0
SET,19770909,145.82,145.82,145.82,145.82,3162570,0
SET,19770912,143.97,143.97,143.97,143.97,3793970,0
SET,19770913,144.47,144.47,144.47,144.47,3723010,0
SET,19770914,145.42,145.42,145.42,145.42,2724460,0
SET,19770915,147.22,147.22,147.22,147.22,3455370,0
SET,19770916,148.05,148.05,148.05,148.05,3487350,0
SET,19770919,148.08,148.08,148.08,148.08,4058310,0
SET,19770920,147.81,147.81,147.81,147.81,2726740,0
SET,19770921,147.18,147.18,147.18,147.18,6167620,0
SET,19770922,146.73,146.73,146.73,146.73,1703310,0
SET,19770923,146.84,146.84,146.84,146.84,2355750,0
SET,19770926,147.21,147.21,147.21,147.21,2600110,0
SET,19770927,148.53,148.53,148.53,148.53,5402950,0
SET,19770928,149.82,149.82,149.82,149.82,6955820,0
SET,19770929,150.78,150.78,150.78,150.78,9917680,0
SET,19770930,149.93,149.93,149.93,149.93,5968120,0
SET,19771003,148.78,148.78,148.78,148.78,4643160,0
SET,19771004,148.58,148.58,148.58,148.58,4877970,0
SET,19771005,150.43,150.43,150.43,150.43,6233130,0
SET,19771006,151.55,151.55,151.55,151.55,6061930,0
SET,19771007,152.13,152.13,152.13,152.13,8270200,0
SET,19771010,153.72,153.72,153.72,153.72,11209350,0
SET,19771011,156.02,156.02,156.02,156.02,14330470,0
SET,19771012,159.69,159.69,159.69,159.69,14826480,0
SET,19771013,164.28,164.28,164.28,164.28,16967540,0
SET,19771014,167.94,167.94,167.94,167.94,18053150,0
SET,19771017,176.06,176.06,176.06,176.06,17628400,0
SET,19771018,177.43,177.43,177.43,177.43,13011340,0
SET,19771019,172.95,172.95,172.95,172.95,12555420,0
SET,19771020,171.76,171.76,171.76,171.76,9351560,0
SET,19771021,174.22,174.22,174.22,174.22,7601510,0
SET,19771025,173.83,173.83,173.83,173.83,8735540,0
SET,19771026,172.94,172.94,172.94,172.94,6517890,0
SET,19771027,175.52,175.52,175.52,175.52,6470640,0
SET,19771028,183.50,183.50,183.50,183.50,13260370,0
SET,19771031,192.62,192.62,192.62,192.62,16302830,0
SET,19771101,194.86,194.86,194.86,194.86,19430690,0
SET,19771102,196.19,196.19,196.19,196.19,15423830,0
SET,19771103,200.11,200.11,200.11,200.11,15700660,0
SET,19771104,203.04,203.04,203.04,203.04,20609410,0
SET,19771107,205.08,205.08,205.08,205.08,14836540,0
SET,19771108,200.32,200.32,200.32,200.32,11770910,0
SET,19771109,195.59,195.59,195.59,195.59,10790970,0
SET,19771110,196.83,196.83,196.83,196.83,8879140,0
SET,19771111,200.22,200.22,200.22,200.22,10210800,0
SET,19771114,200.99,200.99,200.99,200.99,8674460,0
SET,19771115,197.83,197.83,197.83,197.83,7117030,0
SET,19771116,195.11,195.11,195.11,195.11,5619760,0
SET,19771117,190.68,190.68,190.68,190.68,7472020,0
SET,19771118,179.81,179.81,179.81,179.81,8069500,0
SET,19771121,173.40,173.40,173.40,173.40,4943270,0
SET,19771122,180.78,180.78,180.78,180.78,6215510,0
SET,19771123,191.11,191.11,191.11,191.11,7194450,0
SET,19771124,191.44,191.44,191.44,191.44,10700510,0
SET,19771125,188.57,188.57,188.57,188.57,4092810,0
SET,19771128,187.30,187.30,187.30,187.30,3907060,0
SET,19771129,187.16,187.16,187.16,187.16,2877900,0
SET,19771130,182.45,182.45,182.45,182.45,3491610,0
SET,19771201,181.12,181.12,181.12,181.12,2653840,0
SET,19771202,181.01,181.01,181.01,181.01,2940520,0
SET,19771206,177.19,177.19,177.19,177.19,1361090,0
SET,19771207,173.39,173.39,173.39,173.39,2198990,0
SET,19771208,169.58,169.58,169.58,169.58,3065000,0
SET,19771209,176.83,176.83,176.83,176.83,3009480,0
SET,19771213,176.77,176.77,176.77,176.77,2181140,0
SET,19771214,173.85,173.85,173.85,173.85,1699900,0
SET,19771215,175.70,175.70,175.70,175.70,1802420,0
SET,19771216,174.82,174.82,174.82,174.82,2147790,0
SET,19771219,174.34,174.34,174.34,174.34,1384400,0
SET,19771220,173.99,173.99,173.99,173.99,1562800,0
SET,19771221,173.89,173.89,173.89,173.89,1621000,0
SET,19771222,176.03,176.03,176.03,176.03,1717060,0
SET,19771223,177.11,177.11,177.11,177.11,2596380,0
SET,19771226,180.77,180.77,180.77,180.77,3142440,0
SET,19771227,181.54,181.54,181.54,181.54,4906200,0
SET,19771228,179.66,179.66,179.66,179.66,2353200,0
SET,19771229,180.46,180.46,180.46,180.46,2721050,0
SET,19771230,181.58,181.58,181.58,181.58,5285890,0
SET,19780103,186.13,186.13,186.13,186.13,5080880,0
SET,19780104,186.16,186.16,186.16,186.16,3914890,0
SET,19780105,185.88,185.88,185.88,185.88,2362950,0
SET,19780106,186.18,186.18,186.18,186.18,2764470,0
SET,19780109,187.24,187.24,187.24,187.24,3377600,0
SET,19780110,186.44,186.44,186.44,186.44,7808190,0
SET,19780111,185.06,185.06,185.06,185.06,2332860,0
SET,19780112,186.24,186.24,186.24,186.24,2653440,0
SET,19780113,187.29,187.29,187.29,187.29,2872250,0
SET,19780116,186.60,186.60,186.60,186.60,2010120,0
SET,19780117,186.52,186.52,186.52,186.52,2091920,0
SET,19780118,188.53,188.53,188.53,188.53,3540290,0
SET,19780119,189.68,189.68,189.68,189.68,6720800,0
SET,19780120,189.80,189.80,189.80,189.80,4818490,0
SET,19780123,191.73,191.73,191.73,191.73,9821670,0
SET,19780124,193.40,193.40,193.40,193.40,10019650,0
SET,19780125,196.44,196.44,196.44,196.44,11259160,0
SET,19780126,199.74,199.74,199.74,199.74,10053120,0
SET,19780127,198.19,198.19,198.19,198.19,8405250,0
SET,19780130,199.50,199.50,199.50,199.50,6794000,0
SET,19780131,201.01,201.01,201.01,201.01,6093360,0
SET,19780201,202.23,202.23,202.23,202.23,7785590,0
SET,19780202,204.47,204.47,204.47,204.47,8985910,0
SET,19780203,204.55,204.55,204.55,204.55,10289930,0
SET,19780206,206.67,206.67,206.67,206.67,7871710,0
SET,19780208,210.14,210.14,210.14,210.14,8685910,0
SET,19780209,210.54,210.54,210.54,210.54,7513410,0
SET,19780210,209.32,209.32,209.32,209.32,5164520,0
SET,19780213,207.96,207.96,207.96,207.96,5806560,0
SET,19780214,206.45,206.45,206.45,206.45,4683270,0
SET,19780215,204.73,204.73,204.73,204.73,4519310,0
SET,19780216,204.67,204.67,204.67,204.67,4171050,0
SET,19780217,203.81,203.81,203.81,203.81,4422620,0
SET,19780220,202.04,202.04,202.04,202.04,3804870,0
SET,19780221,203.55,203.55,203.55,203.55,3130620,0
SET,19780223,203.81,203.81,203.81,203.81,4206130,0
SET,19780224,203.67,203.67,203.67,203.67,3733660,0
SET,19780227,201.81,201.81,201.81,201.81,2484780,0
SET,19780228,202.05,202.05,202.05,202.05,2821330,0
SET,19780301,199.15,199.15,199.15,199.15,3724910,0
SET,19780302,196.57,196.57,196.57,196.57,3457390,0
SET,19780303,194.41,194.41,194.41,194.41,2967930,0
SET,19780306,198.57,198.57,198.57,198.57,4561830,0
SET,19780307,196.81,196.81,196.81,196.81,2550930,0
SET,19780308,195.49,195.49,195.49,195.49,1496910,0
SET,19780309,197.40,197.40,197.40,197.40,3116690,0
SET,19780310,196.39,196.39,196.39,196.39,4020540,0
SET,19780313,193.81,193.81,193.81,193.81,2016920,0
SET,19780314,192.31,192.31,192.31,192.31,2471100,0
SET,19780315,191.47,191.47,191.47,191.47,3244390,0
SET,19780316,191.76,191.76,191.76,191.76,4379280,0
SET,19780317,194.11,194.11,194.11,194.11,4279920,0
SET,19780320,193.49,193.49,193.49,193.49,4393990,0
SET,19780321,191.65,191.65,191.65,191.65,2914140,0
SET,19780322,190.46,190.46,190.46,190.46,2991180,0
SET,19780323,189.00,189.00,189.00,189.00,5064600,0
SET,19780324,188.44,188.44,188.44,188.44,2461180,0
SET,19780327,185.07,185.07,185.07,185.07,4527700,0
SET,19780328,184.87,184.87,184.87,184.87,5878050,0
SET,19780329,187.62,187.62,187.62,187.62,3788300,0
SET,19780330,187.30,187.30,187.30,187.30,4904720,0
SET,19780331,188.61,188.61,188.61,188.61,2982090,0
SET,19780403,190.12,190.12,190.12,190.12,3379310,0
SET,19780404,191.65,191.65,191.65,191.65,8697920,0
SET,19780405,191.84,191.84,191.84,191.84,7485730,0
SET,19780407,189.37,189.37,189.37,189.37,3399520,0
SET,19780410,186.78,186.78,186.78,186.78,5383950,0
SET,19780411,185.64,185.64,185.64,185.64,2784200,0
SET,19780412,186.01,186.01,186.01,186.01,3108660,0
SET,19780414,185.67,185.67,185.67,185.67,1885910,0
SET,19780417,184.85,184.85,184.85,184.85,1537390,0
SET,19780418,184.75,184.75,184.75,184.75,1695050,0
SET,19780419,186.82,186.82,186.82,186.82,5086880,0
SET,19780420,187.84,187.84,187.84,187.84,5154700,0
SET,19780421,187.15,187.15,187.15,187.15,6380310,0
SET,19780424,185.10,185.10,185.10,185.10,3473490,0
SET,19780425,183.14,183.14,183.14,183.14,3910590,0
SET,19780426,183.16,183.16,183.16,183.16,2132930,0
SET,19780427,182.18,182.18,182.18,182.18,2888470,0
SET,19780428,182.38,182.38,182.38,182.38,2756030,0
SET,19780502,181.48,181.48,181.48,181.48,1477080,0
SET,19780503,181.19,181.19,181.19,181.19,1172060,0
SET,19780504,180.98,180.98,180.98,180.98,1627430,0
SET,19780508,183.87,183.87,183.87,183.87,2492920,0
SET,19780509,184.33,184.33,184.33,184.33,4169840,0
SET,19780510,183.75,183.75,183.75,183.75,1218050,0
SET,19780511,184.54,184.54,184.54,184.54,2493250,0
SET,19780512,185.19,185.19,185.19,185.19,3228020,0
SET,19780515,186.72,186.72,186.72,186.72,5327370,0
SET,19780516,187.34,187.34,187.34,187.34,5205150,0
SET,19780517,186.21,186.21,186.21,186.21,4250750,0
SET,19780518,186.69,186.69,186.69,186.69,2703780,0
SET,19780519,186.44,186.44,186.44,186.44,3397210,0
SET,19780523,188.98,188.98,188.98,188.98,2284700,0
SET,19780524,189.61,189.61,189.61,189.61,3019200,0
SET,19780525,189.11,189.11,189.11,189.11,2648850,0
SET,19780526,188.46,188.46,188.46,188.46,2430320,0
SET,19780529,188.85,188.85,188.85,188.85,2294260,0
SET,19780530,188.29,188.29,188.29,188.29,2779700,0
SET,19780531,187.91,187.91,187.91,187.91,3696850,0
SET,19780601,187.65,187.65,187.65,187.65,2664100,0
SET,19780602,188.29,188.29,188.29,188.29,2667830,0
SET,19780605,189.37,189.37,189.37,189.37,3618790,0
SET,19780606,189.28,189.28,189.28,189.28,2786180,0
SET,19780607,188.41,188.41,188.41,188.41,1819660,0
SET,19780608,188.33,188.33,188.33,188.33,2205250,0
SET,19780609,187.90,187.90,187.90,187.90,1263790,0
SET,19780612,187.45,187.45,187.45,187.45,1294890,0
SET,19780613,187.98,187.98,187.98,187.98,1368170,0
SET,19780614,186.42,186.42,186.42,186.42,2237130,0
SET,19780615,187.30,187.30,187.30,187.30,3372910,0
SET,19780616,187.77,187.77,187.77,187.77,2284510,0
SET,19780619,187.13,187.13,187.13,187.13,898150,0
SET,19780620,188.06,188.06,188.06,188.06,1992000,0
SET,19780621,189.04,189.04,189.04,189.04,2755480,0
SET,19780622,188.23,188.23,188.23,188.23,1926130,0
SET,19780623,187.78,187.78,187.78,187.78,1049860,0
SET,19780626,186.96,186.96,186.96,186.96,1582500,0
SET,19780627,187.06,187.06,187.06,187.06,1400960,0
SET,19780628,187.80,187.80,187.80,187.80,1392450,0
SET,19780629,189.52,189.52,189.52,189.52,2948400,0
SET,19780630,189.99,189.99,189.99,189.99,2995540,0
SET,19780703,189.77,189.77,189.77,189.77,1466670,0
SET,19780704,189.41,189.41,189.41,189.41,1032680,0
SET,19780705,188.65,188.65,188.65,188.65,812970,0
SET,19780706,188.87,188.87,188.87,188.87,1200270,0
SET,19780707,188.90,188.90,188.90,188.90,1311720,0
SET,19780710,189.73,189.73,189.73,189.73,599150,0
SET,19780711,190.01,190.01,190.01,190.01,880590,0
SET,19780712,189.08,189.08,189.08,189.08,551610,0
SET,19780713,188.60,188.60,188.60,188.60,563860,0
SET,19780714,189.92,189.92,189.92,189.92,2074290,0
SET,19780717,190.71,190.71,190.71,190.71,1890840,0
SET,19780718,189.68,189.68,189.68,189.68,945670,0
SET,19780719,189.54,189.54,189.54,189.54,1342120,0
SET,19780721,189.39,189.39,189.39,189.39,1377320,0
SET,19780724,188.96,188.96,188.96,188.96,987400,0
SET,19780725,189.53,189.53,189.53,189.53,1690840,0
SET,19780726,188.81,188.81,188.81,188.81,2038860,0
SET,19780727,187.66,187.66,187.66,187.66,1403960,0
SET,19780728,186.59,186.59,186.59,186.59,2180480,0
